"MLS#","PROPERTY TYPE","ADDRESS","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","LATITUDE","LONGITUDE"
72912721,"Multi-Family (2-4 Unit)","184 King St",1109,200000,4,2,"Springfield",2388,14767,1905,75,84,,"Contingent",42.1053465,-72.56465
72911799,"Vacant Land","0 Boston Rd",1109,49900,,,"Springfield",,15398,,79,,,"Active",42.1255642,-72.5350317
72911699,"Multi-Family (2-4 Unit)","75-77 Horace St",1108,271900,8,3,"Forest Park",2948,6835,1915,80,92,,"Active",42.0919818,-72.5633286
72911587,"Single Family Residential","796-798 Saint James Ave",1104,254900,4,2,"Liberty Heights",1870,4897,1972,80,136,,"Active",42.130559,-72.567046
72910633,"Single Family Residential","146 Temby St",1119,230000,3,2,"Springfield",1603,5001,1941,81,143,,"Active",42.1433636,-72.5071952
72910284,"Single Family Residential","28 Bosworth St",1108,169900,4,2,"Forest Park",1300,4565,1959,82,131,,"Active",42.0839071,-72.5392228
72909688,"Multi-Family (2-4 Unit)","16-18 Moulton St",1118,284900,4,3,"East Forest Park",1710,4051,1970,83,167,,"Active",42.0826225,-72.5314167
72907270,"Single Family Residential","11 Mattoon St",1105,378900,5,3,"Springfield",4000,1503,1874,89,95,,"Active",42.104733,-72.587663
72906748,"Single Family Residential","9 Searle Pl",1105,119000,3,1.5,"Springfield",1280,5428,1982,90,93,,"Active",42.1000318,-72.5647718
72906549,"Multi-Family (2-4 Unit)","53-55 Andrew St",1109,260000,6,2,"Springfield",3021,6591,1924,91,86,,"Active",42.1139758,-72.561812
72905920,"Multi-Family (2-4 Unit)","53-55 Dickinson",1108,334900,10,3,"Forest Park",3603,5602,1923,94,93,,"Active",42.092213,-72.567756
72904324,"Single Family Residential","22 Burr St",1109,244500,5,1.5,"Springfield",1769,3171,1913,96,138,,"Contingent",42.1153891,-72.5621436
72904227,"Multi-Family (2-4 Unit)","23-25 Ledyard St",1104,215000,6,3,"Springfield",3756,5502,1915,96,57,,"Contingent",42.1169818,-72.5833293
72904199,"Single Family Residential","711 Newbury St",1104,229900,3,1.5,"Springfield",1354,8747,1952,96,170,,"Active",42.1330979,-72.5888972
72903478,"Multi-Family (2-4 Unit)","23 Standish St",1108,275000,6,2,"Forest Park",2891,5310,1924,100,95,,"Active",42.0863985,-72.5485245
72901338,"Single Family Residential","81 Garland St",1118,119900,2,1,"Springfield",699,5000,1946,103,172,,"Contingent",42.088548,-72.5331689
72900463,"Vacant Land","301 Tinkham Rd",1129,349900,,,"Springfield",,206910,,105,,,"Active",42.1082802,-72.4818199
72898955,"Single Family Residential","40 Covington",1119,215000,2,2,"Springfield",2044,17502,1917,109,105,,"Active",42.1355531,-72.5242956
72898754,"Single Family Residential","38 Malcolm Rd",1109,229900,3,1,"Pine Point Boston Road",950,8438,1948,109,242,,"Active",42.1216584,-72.5542879
72897435,"Multi-Family (2-4 Unit)","29 Warriner Ave",1108,259900,6,3,"Springfield",2813,3389,1897,111,92,,"Active",42.0912859,-72.5768376
72897040,"Single Family Residential","249 Quincy St",1109,289999,7,2.5,"Springfield",2122,9233,1896,114,137,,"Active",42.1081396,-72.5641043
72896399,"Single Family Residential","67 Melville St",1104,219900,4,1,"Springfield",1008,3999,1955,115,218,,"Active",42.1300799,-72.5688438
72891962,"Multi-Family (2-4 Unit)","57 Johnson St",1108,268900,8,2,"Springfield",3353,5001,1905,123,80,,"Active",42.0898088,-72.5608959
72890203,"Single Family Residential","19 Rapalus St",1151,229900,4,2,"Indian Orchard",1644,5502,1925,125,140,,"Active",42.1533385,-72.489123
72888211,"Single Family Residential","34 Superior Ave",1151,164900,2,1,"Indian Orchard",942,5001,1924,131,175,,"Active",42.1462985,-72.5187496
72887323,"Single Family Residential","251 Plumtree Rd",1118,200000,2,1.5,"Springfield",1007,5284,1939,135,199,,"Active",42.0958398,-72.5380675
72883607,"Single Family Residential","950 Allen St",1118,260000,4,2.5,"Springfield",2054,14767,1927,144,127,,"Active",42.0908957,-72.5292406
72883389,"Single Family Residential","235 State St #305",1103,169900,1,1,"Springfield",756,756,1899,144,225,283,"Active",42.1036005,-72.5830523
72882515,"Single Family Residential","140 Hampden St",1151,229900,4,1,"Springfield",1507,7505,1904,145,153,,"Contingent",42.1578906,-72.5040523
72881578,"Multi-Family (2-4 Unit)","52-54 Stockman St",1104,159900,4,2,"Liberty Heights",2246,5001,1924,148,71,,"Active",42.1258966,-72.5828429
72881142,"Single Family Residential","346 Maple",1105,419900,7,4.5,"Springfield",4568,18038,1900,149,92,,"Active",42.0958833,-72.5746786
72881138,"Single Family Residential","167-169 Prospect St",1107,224900,6,3,"Springfield",3938,4918,1922,149,57,,"Active",42.1184679,-72.5951926
72880605,"Multi-Family (2-4 Unit)","51-53 Lansing Pl",1108,294999,4,3,"Springfield",2376,4639,1989,150,124,,"Active",42.088629,-72.5628948
72880428,"Single Family Residential","25 Fairhaven Dr",1151,224900,3,1,"Indian Orchard",1128,8002,1956,150,199,,"Active",42.1444327,-72.5231124
72878501,"Multi-Family (2-4 Unit)","91-93 Clantoy St",1104,239900,6,2,"Springfield",2387,5001,1925,153,101,,"Active",42.1210604,-72.5806936
72876787,"Single Family Residential","160 Euclid Ave",1108,188000,4,1.5,"Springfield",1584,7571,1921,157,119,,"Contingent",42.0915395,-72.5657463
72865614,"Vacant Land","0 Ashmun St",1101,105000,,,"Springfield",,2679,,179,,,"Active",42.1022874,-72.5904201
72863393,"Vacant Land","Lot 0 Bayside St",1109,19900,,,"Springfield",,18981,,184,,,"Active",42.1322072,-72.5381662
72859960,"Single Family Residential","224 Gifford St",1118,218500,3,1,"East Forest Park",1008,5001,1942,185,217,,"Active",42.0883315,-72.532984
72855173,"Townhouse","12 Crescent Hl #5",1105,439900,3,3,"Springfield",4245,,1989,200,104,670,"Active",42.0948722,-72.5753658
72854574,"Multi-Family (2-4 Unit)","45-47 Lansing Pl",1108,297999,6,3,"Springfield",3204,4639,1910,201,93,,"Active",42.0884409,-72.5629404
72854573,"Multi-Family (2-4 Unit)","41-43 Lansing Pl",1108,294995,4,3,"Springfield",2176,5031,1987,201,136,,"Active",42.0883629,-72.562948
72852071,"Multi-Family (2-4 Unit)","842-844 Chestnut St",1107,260000,8,2,"Springfield",3818,4082,1916,206,68,,"Active",42.1221714,-72.606946
72849698,"Single Family Residential","53 whiting St",1107,201900,4,2,"Springfield",1488,,1912,209,136,,"Active",42.1167468,-72.6157868
72845361,"Multi-Family (5+ Unit)","306-322 Oak St",1151,1296000,16,12,"Springfield",6912,40083,1972,215,188,,"Active",42.1493227,-72.5029861
72822286,"Multi-Family (2-4 Unit)","66-68 Berkshire St",1151,264900,4,2,"Springfield",1710,5998,1977,256,155,,"Active",42.1573694,-72.5078815
72631584,"Multi-Family (2-4 Unit)","120 Mill St",1109,485000,7,3.5,"Springfield",5193,22215,1910,271,93,,"Active",42.0921182,-72.5756817
72772483,"Single Family Residential","1216 Boston Rd",1119,259899,4,2,"Pine Point Boston Road",2104,11709,1948,271,124,,"Active",42.140333,-72.5036363
72783260,"Single Family Residential","34 Parkside St",1104,175000,3,1,"Springfield",1303,3790,1924,271,134,,"Active",42.121814,-72.5915309
72766159,"Single Family Residential","85 Bowles Park",1104,125299,3,1.5,"Springfield",1134,7305,1948,271,110,,"Active",42.1444657,-72.5606649
72812197,"Multi-Family (2-4 Unit)","31 Loring St",1105,204900,6,2,"Springfield",1858,4060,1900,275,110,,"Contingent",42.0953826,-72.5826596
